Symbol,replaced_SMILES,CXSMILES,Monomer_Type,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Abu,CC[C@H](N)C(=O)O,CC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,Backbone,9.90462963,0.055555556,9.90462963,0.055555556,0.513799937,101.149,90.061,101.084064,42,0,0.136374213,-0.310801928,0.310801928,0.136374213,1.857142857,2.428571429,2.428571429,16.13017767,10.25577777,1.946063153,-2.003924775,1.799790187,-2.24505344,5.565495187,-0.109028586,3.164609309,50.04184398,5.698670613,4.77005561,4.77005561,3.346065215,2.4730658,2.4730658,1.439499261,1.439499261,0.974883644,0.974883644,0.368390572,0.368390572,-0.37,34.39946188,6.63,3.807619893,2.340479574,43.91040377,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,13.46849361,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,0.0,19.38639965,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,0.0,13.34455882,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,0.0,12.70698215,0.0,7.047671983,6.9237372,5.316788604,0.0,0.0,0.0,9.90462963,2.833333333,0.0,0.0,0.055555556,1.791666667,1.967824074,1.780324074,0.8,7,1,2,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0.1833,29.2027,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sar,CNCC(=O)O,CN([*])CC([*])=O |$;;_R1;;;_R2;$|,Backbone,9.573611111,0.527777778,9.573611111,0.527777778,0.432632736,87.122,78.05,87.06841391,36,0,0.133453464,-0.30253181,0.30253181,0.133453464,1.666666667,2.166666667,2.166666667,16.12965073,10.6696183,1.787932895,-1.985543215,1.617673769,-2.12711,5.511763903,-0.107883205,2.814144222,42.81274391,4.991563832,4.139918936,4.139918936,2.77005561,1.854605508,1.854605508,1.42890998,1.42890998,0.439683971,0.439683971,0.149071198,0.149071198,-0.37,14.83446686,5.63,2.845982721,3.63,37.75543314,9.694446915,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09534397,0.0,6.544756406,4.794537184,6.286160523,0.0,4.899909731,0.0,0.0,20.64010037,0.0,0,0.0,0.0,0.0,0.0,0.0,31.82617063,4.794537184,0.0,0.0,0.0,0.0,0.0,0,20.31,0.0,4.794537184,0,0.0,6.544756406,6.286160523,0.0,0.0,18.9952537,0.0,0.0,0.0,0.0,11.38611111,0.0,0.0,0.0,0.0,0.875,0.527777778,3.711111111,0.75,6,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,-0.2531,24.618,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meL,CN[C@@H](CC(C)C)C(=O)O,CC(C)C[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,10.44032407,0.097222222,10.44032407,0.097222222,0.550366122,143.23,126.094,143.1310142,60,0,0.136604942,-0.301626338,0.301626338,0.136604942,1.4,1.9,2.0,16.13047538,10.04577238,2.100789526,-2.191525862,2.054595908,-2.299720757,5.568043979,-0.111592355,3.713091084,99.43071362,8.14626437,7.294619475,7.294619475,4.574586063,3.692858794,3.692858794,3.296590894,3.296590894,1.533270415,1.533270415,0.871074228,0.871074228,-0.37,112.4925165,9.63,4.446244516,3.616587863,63.2152016,4.794537184,6.286160523,0.0,0.0,0.0,0.0,4.899909731,0.0,0.0,0.0,13.8474744,26.43407163,0.0,6.041840829,4.794537184,6.286160523,0.0,4.899909731,5.917906046,26.31013685,14.09534397,0.0,0,0.0,0.0,0.0,0.0,0.0,31.32325505,4.794537184,5.917906046,20.26829602,0.0,0.0,0.0,0,20.31,0.0,4.794537184,0,6.041840829,5.917906046,12.70698215,0.0,0.0,18.9952537,13.8474744,0.0,0.0,0.0,12.39171296,0.0,0.0,0.595,0.097222222,1.96875,4.25,3.863981481,0.875,10,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1.1616,42.994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,CC(C)[C@H](N)C(=O)O,CC(C)[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,Backbone,10.1150463,0.023148148,10.1150463,0.023148148,0.540288649,115.176,102.072,115.099714,48,0,0.136648122,-0.310581188,0.310581188,0.136648122,1.5,2.0,2.0,16.13024358,10.07472812,2.061365805,-2.105954927,1.950431349,-2.311692983,5.572141788,-0.109799803,3.511707407,70.92878689,6.568914101,5.640299098,5.640299098,3.718744015,2.8457446,2.8457446,2.194558257,2.194558257,1.198175648,1.198175648,0.558509555,0.558509555,-0.37,47.19725257,7.63,3.609784221,2.073105009,50.27534588,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474744,12.96557803,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,5.917906046,19.88931523,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,5.917906046,13.8474744,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,5.917906046,6.286160523,0.0,7.047671983,13.8474744,5.316788604,0.0,0.0,0.0,10.1150463,2.883101852,0.0,0.400462963,0.023148148,0.935185185,4.018981481,1.790740741,0.833333333,8,1,2,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0.4293,33.7497,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C[C@H](N)C(=O)O,C[C@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,Backbone,9.67337963,0.00462963,9.67337963,0.00462963,0.472173394,87.122,78.05,87.06841391,36,0,0.136101419,-0.311021766,0.311021766,0.136101419,1.833333333,2.333333333,2.333333333,16.13012017,10.39991799,1.864695775,-1.936621574,1.636308734,-2.212675638,5.558736227,-0.108631739,2.964900495,44.81274391,4.991563832,4.062948829,4.062948829,2.808060412,1.935060998,1.935060998,1.213433033,1.213433033,0.659465946,0.659465946,0.068041382,0.068041382,-0.37,19.80026906,5.63,2.845982721,1.905482094,37.54546165,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.97140918,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,0.0,12.96557803,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,0.0,6.9237372,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,0.0,6.286160523,0.0,13.97140918,0.0,5.316788604,0.0,0.0,0.0,9.67337963,2.746527778,0.0,0.0,0.00462963,0.861111111,1.798611111,1.749074074,0.75,6,1,2,0,0,0,0,0,0,2,1,2,2,0,0,0,0,-0.2068,24.5857,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dA,C[C@@H](N)C(=O)O,C[C@@H](N[*])C([*])=O |$;;;_R1;;_R2;$|,Backbone,9.67337963,0.00462963,9.67337963,0.00462963,0.472173394,87.122,78.05,87.06841391,36,0,0.136101419,-0.311021766,0.311021766,0.136101419,1.833333333,2.333333333,2.333333333,16.13012017,10.39991799,1.864695775,-1.936621574,1.636308734,-2.212675638,5.558736227,-0.108631739,2.964900495,44.81274391,4.991563832,4.062948829,4.062948829,2.808060412,1.935060998,1.935060998,1.213433033,1.213433033,0.659465946,0.659465946,0.068041382,0.068041382,-0.37,19.80026906,5.63,2.845982721,1.905482094,37.54546165,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.97140918,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,0.0,12.96557803,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,0.0,6.9237372,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,0.0,6.286160523,0.0,13.97140918,0.0,5.316788604,0.0,0.0,0.0,9.67337963,2.746527778,0.0,0.0,0.00462963,0.861111111,1.798611111,1.749074074,0.75,6,1,2,0,0,0,0,0,0,2,1,2,2,0,0,0,0,-0.2068,24.5857,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meV,CN[C@H](C(=O)O)C(C)C,CC(C)[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,10.3462963,0.074074074,10.3462963,0.074074074,0.524540848,129.203,114.083,129.1153641,54,0,0.136857799,-0.301615108,0.301615108,0.136857799,1.333333333,1.777777778,1.777777778,16.13052945,10.05898508,2.123855005,-2.208593429,2.024497093,-2.333546221,5.572699621,-0.112305524,3.821219649,80.91694058,7.439157589,6.587512694,6.587512694,4.091422815,3.209695546,3.209695546,2.834303561,2.834303561,1.418752853,1.418752853,0.875135758,0.875135758,-0.37,64.0524865,8.63,3.616587863,2.607886904,56.85025948,4.794537184,6.286160523,0.0,0.0,0.0,0.0,4.899909731,0.0,0.0,0.0,13.8474744,20.01325001,0.0,6.041840829,4.794537184,6.286160523,0.0,4.899909731,5.917906046,19.88931523,14.09534397,0.0,0,0.0,0.0,0.0,0.0,0.0,31.32325505,4.794537184,5.917906046,13.8474744,0.0,0.0,0.0,0,20.31,0.0,4.794537184,0,6.041840829,5.917906046,6.286160523,0.0,0.0,32.8427281,0.0,0.0,0.0,0.0,12.27453704,0.0,0.0,0.414351852,0.074074074,0.990740741,4.081481481,3.831481481,0.857142857,9,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0.7715,38.377,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me_Bmt(E),C/C=C/C[C@@H](C)[C@@H](O)[C@H](NC)C(=O)O,C/C=C/C[C@@H](C)[C@@H](O)[C@@H](C([*])=O)N(C)[*] |$;;;;;;;;;;_R2;;;;_R1$|,Backbone,10.98541273,-0.171059146,10.98541273,0.0475,0.476311872,213.321,190.137,213.172879,88,0,0.139271591,-0.379072095,0.379072095,0.139271591,1.4,2.0,2.333333333,16.47728966,9.942256042,2.267902604,-2.304991573,2.167245768,-2.442703511,5.582777344,-0.117266524,4.488534903,201.7988001,11.84493498,10.43491857,10.43491857,7.078116023,5.336809345,5.336809345,4.072626241,4.072626241,2.648889402,2.648889402,1.68619288,1.68619288,-0.67,1536.215906,14.33,7.599480993,4.579586443,93.09891225,9.531400138,6.286160523,0.0,0.0,0.0,0.0,4.899909731,0.0,0.0,0.0,19.07577741,33.35780883,7.109797541,12.14580722,9.531400138,6.286160523,0.0,4.899909731,5.917906046,32.41410324,21.20514151,12.15204021,0,0.0,0.0,0.0,0.0,0.0,44.53701898,9.531400138,5.917906046,20.26829602,12.15204021,0.0,0.0,0,29.54,0.0,4.794537184,0,12.14580722,5.917906046,12.70698215,0.0,7.109797541,31.995011,12.99975731,4.736862954,5.41667706,0.0,12.88157014,0.0,0.0,0.336851852,-0.171059146,5.976824924,4.103024061,5.456111111,0.75,15,0,3,0,0,0,0,0,0,3,0,3,7,0,0,0,0,1.7328,62.931,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dL,CC(C)C[C@@H](N)C(=O)O,CC(C)C[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,10.20907407,0.046296296,10.20907407,0.046296296,0.569266198,129.203,114.083,129.1153641,54,0,0.136395428,-0.310784868,0.310784868,0.136395428,1.555555556,2.111111111,2.222222222,16.13019231,10.05630261,2.042257038,-2.095925619,2.007400485,-2.273984364,5.567479696,-0.109310559,3.423915643,80.98533617,7.276020882,6.347405879,6.347405879,4.201907263,3.328907848,3.328907848,2.660800081,2.660800081,1.260395653,1.260395653,0.749315855,0.749315855,-0.37,80.20139956,8.63,4.503290913,4.154246396,56.640288,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474744,19.38639965,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,5.917906046,26.31013685,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,5.917906046,20.26829602,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,5.917906046,12.70698215,0.0,7.047671983,0.0,19.164263,0.0,0.0,0.0,10.20907407,2.915,0.0,0.590416667,0.046296296,1.888888889,4.21,1.806990741,0.857142857,9,1,2,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0.8194,38.3667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,CC(C)C[C@H](N)C(=O)O,CC(C)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone,10.20907407,0.046296296,10.20907407,0.046296296,0.569266198,129.203,114.083,129.1153641,54,0,0.136395428,-0.310784868,0.310784868,0.136395428,1.555555556,2.111111111,2.222222222,16.13019231,10.05630261,2.042257038,-2.095925619,2.007400485,-2.273984364,5.567479696,-0.109310559,3.423915643,80.98533617,7.276020882,6.347405879,6.347405879,4.201907263,3.328907848,3.328907848,2.660800081,2.660800081,1.260395653,1.260395653,0.749315855,0.749315855,-0.37,80.20139956,8.63,4.503290913,4.154246396,56.640288,10.11132579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474744,19.38639965,0.0,6.041840829,4.794537184,6.286160523,0.0,5.316788604,5.917906046,26.31013685,7.047671983,0.0,0,0.0,5.316788604,0.0,0.0,0.0,19.37567333,4.794537184,5.917906046,20.26829602,0.0,0.0,0.0,0,29.1,0.0,4.794537184,0,6.041840829,5.917906046,12.70698215,0.0,7.047671983,0.0,19.164263,0.0,0.0,0.0,10.20907407,2.915,0.0,0.590416667,0.046296296,1.888888889,4.21,1.806990741,0.857142857,9,1,2,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0.8194,38.3667,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
